publisher,genres,app_name,specs,price,early_access,developer,sentiment,metascore,release_year,Indie
2K Games,"['Action', 'RPG']",BioShock™,"['Single-player', 'Partial Controller Support']",19.99,False,"2K Boston,2K Australia",very positive,96.0,2007,0
SEGA,['Strategy'],"Warhammer® 40,000: Dawn of War® - Game of the Year Edition","['Single-player', 'Multi-player', 'Steam Trading Cards', 'Steam Cloud']",12.99,False,Relic Entertainment,positive,86.0,2006,0
SEGA,['Strategy'],"Warhammer® 40,000: Dawn of War® - Dark Crusade","['Single-player', 'Multi-player', 'Steam Cloud']",12.99,False,Relic Entertainment,very positive,87.0,2006,0
SEGA,['Strategy'],Rome: Total War™ - Collection,"['Single-player', 'Multi-player', 'Steam Trading Cards']",9.99,False,The Creative Assembly,very positive,92.0,2004,0
SEGA,['Strategy'],Rome: Total War™ - Alexander,"['Single-player', 'Multi-player']",4.99,False,The Creative Assembly,mostly Positive,79.0,2006,0
Rockstar Games,['Action'],Manhunt,['Single-player'],9.99,False,Rockstar North,mostly Positive,75.0,2004,0
Rockstar Games,['Racing'],Midnight Club 2,"['Single-player', 'Multi-player']",9.99,False,Rockstar San Diego,positive,81.0,2003,0
Rockstar Games,['Action'],Max Payne 2: The Fall of Max Payne,['Single-player'],9.99,False,Remedy Entertainment,positive,86.0,2003,0
Square Enix,"['Action', 'Adventure']",Tomb Raider: Legend,"['Single-player', 'Partial Controller Support']",6.99,False,Crystal Dynamics,positive,82.0,2006,0
Rockstar Games,['Action'],Max Payne,['Single-player'],9.99,False,Remedy Entertainment,very positive,89.0,2001,0
Electronic Arts,['Strategy'],Command & Conquer: Red Alert 3,['Single-player'],19.99,False,EA Los Angeles,positive,82.0,2008,0
"D3Publisher of America, Inc.",['Casual'],PuzzleQuest: Challenge of the Warlords,"['Single-player', 'Multi-player', 'Steam Cloud']",9.99,False,Infinite Interactive,positive,84.0,2007,0
Strategy First,"['RPG', 'Casual', 'Adventure']",Culpa Innata,['Single-player'],9.99,False,Momentum Digital Media Technologies,mixed,66.0,2007,0
Square Enix,['Action'],Conflict: Denied Ops,['Single-player'],5.99,False,Pivotal Games,mixed,58.0,2008,0
Bohemia Interactive,['Action'],ARMA: Combat Operations,"['Single-player', 'Multi-player', 'Includes level editor']",7.99,False,Bohemia Interactive,mostly Positive,74.0,2007,0
Retroism,['Simulation'],Tycoon City: New York,['Single-player'],9.99,False,,mixed,67.0,2006,0
THQ Nordic,['Action'],Desperados 2: Cooper's Revenge,['Single-player'],9.99,False,Spellbound,mixed,66.0,2006,0
1C Company,"['Action', 'Adventure']",Death to Spies,"['Single-player', 'Steam Cloud']",4.99,False,Haggard Games,mixed,69.0,2007,0
Atari,['Action'],Act of War: High Treason,"['Single-player', 'Multi-player']",2.99,False,Eugen Systems,mostly Positive,74.0,2006,0
"Atari, Aspyr (Mac)","['Simulation', 'Strategy']",RollerCoaster Tycoon® 3: Platinum,['Single-player'],19.99,False,"Frontier,Aspyr (Mac)",positive,81.0,2006,0
Atari,['Action'],Act of War: Direct Action,"['Single-player', 'Multi-player']",2.99,False,Eugen Systems,positive,82.0,2005,0
"Epic Games, Inc.",['Action'],Unreal 2: The Awakening,['Single-player'],14.99,False,"Epic Games, Inc.",mostly Positive,75.0,2003,0
Nunchuck Games,"['Casual', 'Indie']",Ninja Reflex: Steamworks Edition,"['Single-player', 'Multi-player', 'Steam Achievements']",4.99,False,Sanzaru Games,mixed,57.0,2008,1
Ubisoft,['Action'],Tom Clancy's Splinter Cell®,['Single-player'],9.99,False,Ubisoft,very positive,91.0,2003,0
Ubisoft,['Action'],Far Cry®,['Single-player'],9.99,False,Crytek Studios,very positive,89.0,2004,0
"Epic Games, Inc.",['Action'],Unreal Tournament: Game of the Year Edition,"['Single-player', 'Multi-player']",9.99,False,"Epic Games, Inc.",very positive,92.0,2000,0
Ubisoft,['Action'],Tom Clancy's Rainbow Six® Vegas,"['Single-player', 'Multi-player']",9.99,False,Ubisoft Montreal,positive,85.0,2006,0
Ubisoft,['Simulation'],Silent Hunter® III,"['Single-player', 'Multi-player', 'Co-op']",9.99,False,Ubisoft,very positive,90.0,2005,0
Ubisoft,"['Action', 'Adventure']",Rayman Raving Rabbids™,['Single-player'],9.99,False,"Ubisoft Bulgaria,Ubisoft Montpellier",mixed,58.0,2007,0
Ubisoft,['Simulation'],Silent Hunter®: Wolves of the Pacific,"['Single-player', 'Multi-player']",9.99,False,Ubisoft Romania,mostly Positive,79.0,2007,0
1C Online Games,['Simulation'],IL-2 Sturmovik: 1946,"['Single-player', 'Multi-player', 'Steam Cloud', 'Includes level editor']",9.99,False,1C: Maddox Games,positive,86.0,2006,0
Telltale Games,['Adventure'],Bone: Out From Boneville,['Single-player'],9.99,False,Telltale Games,mixed,68.0,2005,0
Telltale Games,['Adventure'],Bone: The Great Cow Race,['Single-player'],9.99,False,Telltale Games,mostly Positive,76.0,2006,0
Frogwares,['Adventure'],Dracula Origin,['Single-player'],9.99,False,Frogwares,mixed,70.0,2008,0
Frogwares,"['Adventure', 'RPG']",Sherlock Holmes - Nemesis,['Single-player'],9.99,False,Frogwares,mostly Positive,71.0,2008,0
Buka Entertainment,"['Simulation', 'Strategy']",Pacific Storm Allies,"['Single-player', 'Multi-player', 'Steam Trading Cards']",7.99,False,Lesta Studio,mixed,60.0,2007,0
Strategy First,['Racing'],FlatOut: Ultimate Carnage,"['Single-player', 'Multi-player']",19.99,False,Bugbear Entertainment,mostly Positive,79.0,2008,0
SimBin,['Racing'],GTR Evolution Expansion Pack for RACE 07,"['Single-player', 'Multi-player', 'Downloadable Content']",7.99,False,SimBin,positive,83.0,2008,0
2K Games,['Strategy'],X-COM: Enforcer,"['Single-player', 'Multi-player']",4.99,False,"MicroProse Software, Inc",mixed,65.0,2001,0
GSC World Publishing,"['Action', 'RPG']",S.T.A.L.K.E.R.: Clear Sky,"['Single-player', 'Multi-player']",9.99,False,GSC Game World,mostly Positive,75.0,2008,0
Electronic Arts,['Action'],Crysis Warhead®,['Single-player'],19.99,False,Crytek,positive,84.0,2008,0
Electronic Arts,['Action'],Crysis,['Single-player'],19.99,False,Crytek,very positive,91.0,2007,0
"CD PROJEKT RED, 1C-SoftClub","['Action', 'RPG']",The Witcher: Enhanced Edition Director's Cut,"['Single-player', 'Steam Cloud']",9.99,False,CD PROJEKT RED,positive,86.0,2008,0
Introversion Software,['Indie'],Multiwinia,"['Single-player', 'Multi-player', 'Steam Achievements']",9.99,False,Introversion Software,mostly Positive,76.0,2008,1
2K Games,['Strategy'],Sid Meier's Civilization IV: Colonization,"['Single-player', 'Multi-player']",19.99,False,Firaxis Games,positive,83.0,2008,0
Ubisoft,['Action'],Tom Clancy's Rainbow Six® 3 Gold,['Single-player'],9.99,False,"Red Storm Entertainment,Ubisoft Montreal",positive,85.0,2003,0
Warner Bros. Interactive Entertainment,"['Action', 'Adventure']",LEGO Batman,"['Single-player', 'Shared/Split Screen', 'Full controller support']",19.99,False,Traveller's Tales,mostly Positive,80.0,2008,0
"Tilted Mill Entertainment, Inc.","['RPG', 'Strategy']",Hinterland,"['Single-player', 'Steam Achievements']",9.99,False,"Tilted Mill Entertainment, Inc.",mixed,65.0,2008,0
Ubisoft,['Action'],Brothers in Arms: Hell's Highway™,['Single-player'],9.99,False,Gearbox Software,mostly Positive,79.0,2008,0
Ubisoft,['Strategy'],Heroes of Might & Magic V: Hammers of Fate,['Single-player'],9.99,False,Nival,mixed,66.0,2006,0
Ubisoft,['Action'],Brothers in Arms: Earned in Blood™,['Single-player'],9.99,False,Gearbox Software,positive,84.0,2005,0
Ubisoft,['Strategy'],Heroes of Might & Magic V: Tribes of the East,['Single-player'],9.99,False,Nival,mixed,70.0,2007,0
Ubisoft,['Strategy'],The Settlers®: Rise Of An Empire Gold Edition,['Single-player'],19.99,False,Blue Byte,mixed,66.0,2008,0
Ubisoft,['Action'],The Sum of All Fears,"['Single-player', 'Multi-player']",9.99,False,Red Storm Entertainment,mostly Positive,72.0,2002,0
"PopCap Games, Inc.",['Casual'],Peggle™ Nights,['Single-player'],4.99,False,"PopCap Games, Inc.",mostly Positive,76.0,2008,0
2D BOY,['Indie'],World of Goo,"['Single-player', 'Steam Achievements']",9.99,False,2D BOY,very positive,90.0,2008,1
Egosoft,"['Action', 'Simulation', 'Strategy']",X3: Terran Conflict,"['Single-player', 'Steam Achievements', 'Full controller support', 'Captions available', 'Steam Cloud']",15.99,False,Egosoft,mostly Positive,73.0,2008,0
Rockstar Games,"['Action', 'Adventure']",Bully: Scholarship Edition,"['Single-player', 'Partial Controller Support']",14.99,False,Rockstar New England,mostly Positive,72.0,2008,0
Ubisoft,['Action'],Far Cry® 2: Fortune's Edition,"['Single-player', 'Multi-player']",9.99,False,Ubisoft Montreal,positive,85.0,2008,0
Deep Silver,['Action'],Saints Row 2,"['Single-player', 'Steam Cloud']",9.99,False,Volition,mostly Positive,72.0,2009,0
Electronic Arts,['Action'],Dead Space,"['Single-player', 'Full controller support']",19.99,False,EA Redwood Shores,positive,86.0,2008,0
Codemasters,['RPG'],Rise of the Argonauts,"['Single-player', 'Full controller support']",9.99,False,Liquid Entertainment,mixed,59.0,2008,0
Electronic Arts,"['Action', 'Adventure']",Mirror's Edge™,"['Single-player', 'Full controller support', 'Partial Controller Support']",19.99,False,DICE,positive,81.0,2009,0
Hidden Path Entertainment,"['Indie', 'Strategy']",Defense Grid: The Awakening,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",9.99,False,Hidden Path Entertainment,positive,81.0,2008,1
Warner Bros. Interactive Entertainment,['Action'],F.E.A.R. 2: Project Origin,"['Single-player', 'Multi-player']",14.99,False,Monolith,mostly Positive,79.0,2009,0
Meridian4,"['Action', 'Indie']",Larva Mortus,"['Single-player', 'Steam Achievements']",4.99,False,Meridian4,mixed,64.0,2009,1
Paradox Interactive,['Strategy'],Knights of Honor,"['Single-player', 'Multi-player']",9.99,False,Black Sea Studios Ltd,mostly Positive,77.0,2005,0
Assemble Entertainment,"['Action', 'Adventure', 'Strategy']",Ceville,['Single-player'],5.99,False,Realmforge Studios,mostly Positive,73.0,2009,0
Warner Bros. Interactive Entertainment,['Action'],Watchmen: The End is Nigh,"['Single-player', 'Multi-player', 'Shared/Split Screen']",4.99,False,Deadline Games,mixed,61.0,2009,0
Frictional Games,"['Action', 'Adventure', 'Indie']",Penumbra Overture,"['Single-player', 'Captions available']",9.99,False,Frictional Games,mostly Positive,73.0,2007,1
"Epic Games, Inc.",['Action'],Unreal Tournament 3 Black,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements']",19.99,False,"Epic Games, Inc.",positive,83.0,2007,0
DTP Entertainment,['RPG'],Drakensang,['Single-player'],9.99,False,Radon Labs,mostly Positive,75.0,2009,0
Electronic Arts,['Racing'],Burnout Paradise: The Ultimate Box,"['Single-player', 'Multi-player']",19.99,False,Criterion Games,very positive,87.0,2009,0
Twisted Pixel Games,"['Action', 'Indie']",The Maw,"['Single-player', 'Steam Achievements']",9.99,False,Twisted Pixel Games,mostly Positive,75.0,2009,1
NCsoft,"['RPG', 'Massively Multiplayer']",Guild Wars Nightfall,"['Multi-player', 'MMO']",19.99,False,ArenaNet®,positive,84.0,2006,0
NCsoft,"['RPG', 'Massively Multiplayer']",Guild Wars,"['Multi-player', 'MMO']",19.99,False,ArenaNet®,very positive,89.0,2005,0
NCsoft,"['RPG', 'Massively Multiplayer']",Guild Wars Factions,"['Multi-player', 'MMO']",19.99,False,ArenaNet®,positive,84.0,2006,0
Topware Interactive,['RPG'],Two Worlds Epic Edition,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Partial Controller Support']",9.99,False,Reality Pump Studios,mixed,65.0,2009,0
"Black Forest Games, THQ Nordic",['Strategy'],Helldorado,['Single-player'],9.99,False,Spellbound,mixed,65.0,2009,0
Topware Interactive,"['Action', 'Adventure', 'RPG']",X-Blades,"['Single-player', 'Steam Trading Cards', 'Partial Controller Support']",9.99,False,Gaijin Entertainment,mixed,54.0,2009,0
ACE Team,"['Action', 'Indie']",Zeno Clash,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",9.99,False,ACE Team,mostly Positive,77.0,2009,1
1C Company,"['RPG', 'Strategy']",King's Bounty: The Legend,"['Single-player', 'Steam Cloud']",6.99,False,1C Company,mostly Positive,79.0,2008,0
1C Company,['Racing'],Death Track®: Resurrection,"['Single-player', 'Steam Cloud']",2.99,False,Sky Fallen,mixed,53.0,2009,0
2K Games,"['RPG', 'Strategy']",Freedom Force,"['Single-player', 'Multi-player']",4.99,False,Irrational Games,very positive,90.0,2002,0
SaintXi,"['Indie', 'Simulation', 'Strategy']",Light of Altair,"['Single-player', 'Steam Achievements']",14.99,False,SaintXi,mixed,66.0,2009,1
Activision,"['Action', 'Adventure']",Prototype™,['Single-player'],19.99,False,Radical Entertainment,mostly Positive,79.0,2009,0
Erik Svedäng,"['Adventure', 'Indie']",Blueberry Garden,['Single-player'],4.99,False,Erik Svedäng,mixed,68.0,2009,1
Strategy First,['Strategy'],Port Royale 2,['Single-player'],4.99,False,Ascaron Entertainment ltd.,mostly Positive,75.0,2004,0
Bethesda Softworks,nan,Call of Cthulhu®: Dark Corners of the Earth,['Single-player'],4.99,False,Headfirst Productions,mostly Positive,76.0,2006,0
Bethesda Softworks,['RPG'],The Elder Scrolls IV: Oblivion® Game of the Year Edition,"['Single-player', 'Steam Cloud']",14.99,False,Bethesda Game Studios,very positive,94.0,2007,0
Bethesda Softworks,['RPG'],The Elder Scrolls III: Morrowind® Game of the Year Edition,"['Single-player', 'Steam Cloud']",14.99,False,Bethesda Game Studios,very positive,89.0,2002,0
Bethesda Softworks,nan,The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe,"['Single-player', 'Steam Cloud']",19.99,False,Bethesda Game Studios®,very positive,94.0,2009,0
Ubisoft,['Action'],Call of Juarez®: Bound in Blood,['Single-player'],9.99,False,Techland,mostly Positive,78.0,2009,0
HeR Interactive,['Adventure'],Nancy Drew®: Legend of the Crystal Skull,['Single-player'],6.99,False,HeR Interactive,mostly Positive,79.0,2007,0
HeR Interactive,['Adventure'],Nancy Drew®: The Creature of Kapu Cave,['Single-player'],6.99,False,HeR Interactive,mixed,68.0,2006,0
HeR Interactive,['Adventure'],Nancy Drew®: The Phantom of Venice,['Single-player'],6.99,False,HeR Interactive,mixed,69.0,2008,0
HeR Interactive,['Adventure'],Nancy Drew®: The White Wolf of Icicle Creek,['Single-player'],6.99,False,HeR Interactive,mostly Positive,73.0,2007,0
Telltale Games,['Adventure'],Tales of Monkey Island Complete Pack,['Single-player'],19.99,False,Telltale Games,mostly Positive,79.0,2009,0
Capcom,['Action'],Street Fighter® IV,"['Single-player', 'Multi-player', 'Partial Controller Support']",19.99,False,Capcom,very positive,91.0,2009,0
LucasArts,"['Action', 'Adventure', 'Racing', 'Simulation', 'Strategy']",Thrillville®: Off the Rails™,"['Single-player', 'Local Multi-Player', 'Co-op', 'Local Co-op', 'Shared/Split Screen', 'Partial Controller Support', 'Steam Cloud']",9.99,False,Frontier,mixed,70.0,2007,0
"LucasArts, Lucasfilm, Disney Interactive",['Action'],Armed and Dangerous®,"['Single-player', 'Steam Cloud']",5.99,False,Planet Moon Studios,mostly Positive,78.0,2003,0
"Lucasfilm, LucasArts, Disney Interactive",['Action'],"Star Wars: Battlefront 2 (Classic, 2005)","['Single-player', 'Partial Controller Support', 'Steam Cloud']",9.99,False,Pandemic Studios,mostly Positive,78.0,2005,0
"LucasArts, Lucasfilm, Disney Interactive","['Action', 'Adventure']",LEGO® Indiana Jones™: The Original Adventures,"['Single-player', 'Local Co-op', 'Shared/Split Screen', 'Partial Controller Support', 'Steam Cloud']",19.99,False,Traveller's Tales,mostly Positive,78.0,2008,0
"LucasArts, Lucasfilm, Disney Interactive",['Adventure'],The Secret of Monkey Island: Special Edition,"['Single-player', 'Full controller support', 'Steam Cloud']",9.99,False,LucasArts,positive,86.0,2009,0
Game Factory Interactive,"['Action', 'Racing']",Clutch,['Single-player'],9.99,False,Targem Games,mixed,51.0,2009,0
HeR Interactive,['Adventure'],Nancy Drew®: Ransom of the Seven Ships,"['Single-player', 'Steam Achievements']",6.99,False,HeR Interactive,mostly Positive,78.0,2009,0
Activision,['Action'],TimeShift™,"['Single-player', 'Multi-player']",19.99,False,Saber Interactive,mostly Positive,71.0,2007,0
Capcom,['Action'],Bionic Commando: Rearmed,"['Single-player', 'Shared/Split Screen', 'Partial Controller Support']",9.99,False,Capcom,positive,86.0,2008,0
Capcom,"['Action', 'Adventure']",Bionic Commando,"['Single-player', 'Multi-player', 'Partial Controller Support', 'Steam Cloud']",9.99,False,Capcom,mixed,69.0,2009,0
Warner Bros. Interactive Entertainment,['Action'],Watchmen: The End is Nigh Part 2,"['Single-player', 'Co-op', 'Partial Controller Support']",4.99,False,Deadline Games,mixed,44.0,2009,0
Hemisphere Games,"['Indie', 'Casual']",Osmos,"['Single-player', 'Steam Achievements']",9.99,False,Hemisphere Games,mostly Positive,80.0,2009,1
Bethesda Softworks,['RPG'],Fallout 2: A Post Nuclear Role Playing Game,"['Single-player', 'Steam Cloud']",9.99,False,Black Isle Studios,positive,86.0,1998,0
Bethesda Softworks,['Strategy'],Fallout Tactics: Brotherhood of Steel,"['Single-player', 'Multi-player', 'Steam Cloud']",9.99,False,14° East,positive,82.0,2001,0
Interplay Inc.,nan,Sacrifice,['Single-player'],9.99,False,Shiny Entertainment,very positive,89.0,2000,0
Size Five Games,"['Adventure', 'Indie']","Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",['Single-player'],4.99,False,Size Five Games,positive,84.0,2009,1
Ubisoft,['Action'],Tom Clancy's Splinter Cell Chaos Theory®,['Single-player'],9.99,False,Ubisoft Montreal,very positive,92.0,2005,0
Square Enix,"['Action', 'Adventure']",Mini Ninjas,['Single-player'],9.99,False,IO Interactive,mostly Positive,74.0,2009,0
Deep Silver,['RPG'],Risen,"['Single-player', 'Steam Trading Cards']",9.99,False,Piranha Bytes,mostly Positive,77.0,2009,0
Amanita Design,"['Adventure', 'Indie']",Machinarium,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",9.99,False,Amanita Design,positive,85.0,2009,1
Electronic Arts,['Action'],Medal of Honor: Airborne,"['Single-player', 'Multi-player']",9.99,False,EA Los Angeles,mostly Positive,78.0,2007,0
Electronic Arts,['Racing'],Need for Speed: Shift,"['Single-player', 'Multi-player']",19.99,False,Slightly Mad Studios,positive,83.0,2009,0
Runic Games,['RPG'],Torchlight,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Includes level editor']",14.99,False,Runic Games,positive,83.0,2009,0
Nitro Games,['Strategy'],East India Company: Privateer,"['Single-player', 'Downloadable Content']",4.99,False,Nitro Games,mixed,63.0,2009,0
THQ Nordic,['Action'],Painkiller: Resurrection,"['Single-player', 'Multi-player']",9.99,False,Homegrown Games,mixed,38.0,2009,0
THQ Nordic,"['RPG', 'Strategy']",SpellForce 2 - Anniversary Edition,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Online Co-op', 'Steam Cloud', 'Includes level editor']",14.99,False,"Phenomic,THQ Nordic",mostly Positive,80.0,2009,0
Deep Silver,['Strategy'],Rush for Berlin Gold,"['Single-player', 'Multi-player']",4.99,False,Stormregion,mostly Positive,76.0,2009,0
"1C Company, 1C-SoftClub",['Strategy'],Men of War: Red Tide,"['Single-player', 'Steam Cloud']",4.99,False,1C Company,mostly Positive,77.0,2009,0
THQ Nordic,"['Action', 'RPG']",SpellForce - Platinum Edition,['Single-player'],9.99,False,Phenomic,mostly Positive,74.0,2009,0
Matrix Games/GMX Media,['Strategy'],Massive Assault,['Single-player'],9.99,False,Wargaming.net,mostly Positive,77.0,2003,0
HeR Interactive,nan,Nancy Drew® Dossier: Resorting to Danger!,['Single-player'],6.99,False,HeR Interactive,mostly Positive,77.0,2009,0
Devolver Digital,"['Action', 'Indie']",Serious Sam HD: The First Encounter,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",14.99,False,Croteam,mixed,68.0,2009,1
Deep Silver,['Adventure'],Secret Files 2: Puritas Cordis,['Single-player'],9.99,False,Animation Arts,mixed,64.0,2009,0
Electronic Arts,['RPG'],Dragon Age: Origins,['Single-player'],19.99,False,BioWare,very positive,91.0,2009,0
"Activision, Aspyr (Mac)",['Action'],Call of Duty®: Modern Warfare® 2,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Cloud', 'Valve Anti-Cheat enabled']",19.99,False,"Infinity Ward,Aspyr (Mac)",positive,86.0,2009,0
"LucasArts, Lucasfilm, Disney Interactive, Feral Interactive (Mac)",['Adventure'],LEGO® Star Wars™ - The Complete Saga,"['Single-player', 'Shared/Split Screen', 'Full controller support', 'Steam Cloud']",19.99,False,"Traveller's Tales,Feral Interactive (Mac)",mostly Positive,77.0,2009,0
Codemasters,['RPG'],Overlord™,"['Single-player', 'Partial Controller Support']",4.99,False,"Triumph Studios,Virtual Programming",positive,81.0,2007,0
Electronic Arts,['Strategy'],Command & Conquer 3: Tiberium Wars,['Single-player'],14.99,False,EA Los Angeles,positive,85.0,2007,0
Electronic Arts,['Strategy'],Command & Conquer 3: Kane's Wrath,"['Single-player', 'Multi-player']",19.99,False,EA Los Angeles,mostly Positive,77.0,2009,0
Positech Games,"['Indie', 'Simulation', 'Strategy']",Gratuitous Space Battles,"['Single-player', 'Multi-player', 'Steam Trading Cards']",14.99,False,Positech Games,mostly Positive,72.0,2009,1
Gaijin Entertainment,['Simulation'],Wings of Prey,"['Single-player', 'Steam Achievements', 'Partial Controller Support']",9.99,False,Gaijin Entertainment,mostly Positive,78.0,2009,0
inXile Entertainment,"['Action', 'Adventure', 'RPG']",The Bard's Tale,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']",9.99,False,inXile Entertainment,mixed,70.0,2005,0
"LucasArts, Aspyr (Mac), Lucasfilm, Disney Interactive",['Action'],STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,"['Single-player', 'Partial Controller Support', 'Steam Cloud']",19.99,False,"LucasArts,Aspyr Studios",mixed,65.0,2009,0
Paradox Interactive,nan,Europa Universalis III: Heir to the Throne,"['Single-player', 'Multi-player', 'Downloadable Content']",9.99,False,Paradox Interactive,positive,86.0,2009,0
Bethesda Softworks,['RPG'],Fallout 3: Game of the Year Edition,['Single-player'],19.99,False,Bethesda Game Studios,very positive,91.0,2009,0
SouthPeak Games,['Casual'],Roogoo,"['Single-player', 'Multi-player']",1.99,False,Spidermonk Entertainment,mostly Positive,72.0,2009,0
Capcom,"['Action', 'Adventure']",Devil May Cry 4,"['Single-player', 'Full controller support']",19.99,False,Capcom,mostly Positive,78.0,2008,0
Meridian4,"['Action', 'Indie', 'RPG']",Avencast: Rise of the Mage,['Single-player'],9.99,False,ClockStone Studios,mixed,68.0,2010,1
ND Games,['Strategy'],UFO: Extraterrestrials Gold,['Single-player'],9.99,False,Chaos Concept,mixed,68.0,2010,0
"LucasArts, Lucasfilm, Disney Interactive",['Adventure'],LEGO® Indiana Jones™ 2: The Adventure Continues,"['Single-player', 'Shared/Split Screen']",19.99,False,Traveller's Tales,mixed,66.0,2010,0
SEGA,['Sports'],Vancouver 2010™ - The Official Video Game of the Olympic Winter Games,"['Single-player', 'Multi-player']",,False,Eurocom,mixed,57.0,2010,0
