genres,app_name,specs,price,early_access,developer,sentiment,metascore,release_year
['Action'],Armed and Dangerous®,"['Single-player', 'Steam Cloud']",5.99,False,Planet Moon Studios,mostly Positive,78.0,2003
['Action'],"Star Wars: Battlefront 2 (Classic, 2005)","['Single-player', 'Partial Controller Support', 'Steam Cloud']",9.99,False,Pandemic Studios,mostly Positive,78.0,2005
"['Action', 'Adventure']",LEGO® Indiana Jones™: The Original Adventures,"['Single-player', 'Local Co-op', 'Shared/Split Screen', 'Partial Controller Support', 'Steam Cloud']",19.99,False,Traveller's Tales,mostly Positive,78.0,2008
['Adventure'],The Secret of Monkey Island: Special Edition,"['Single-player', 'Full controller support', 'Steam Cloud']",9.99,False,LucasArts,positive,86.0,2009
"['Action', 'Racing']",Clutch,['Single-player'],9.99,False,Targem Games,mixed,51.0,2009
['Adventure'],Nancy Drew®: Ransom of the Seven Ships,"['Single-player', 'Steam Achievements']",6.99,False,HeR Interactive,mostly Positive,78.0,2009
['Action'],TimeShift™,"['Single-player', 'Multi-player']",19.99,False,Saber Interactive,mostly Positive,71.0,2007
['Action'],Bionic Commando: Rearmed,"['Single-player', 'Shared/Split Screen', 'Partial Controller Support']",9.99,False,Capcom,positive,86.0,2008
"['Action', 'Adventure']",Bionic Commando,"['Single-player', 'Multi-player', 'Partial Controller Support', 'Steam Cloud']",9.99,False,Capcom,mixed,69.0,2009
['Action'],Watchmen: The End is Nigh Part 2,"['Single-player', 'Co-op', 'Partial Controller Support']",4.99,False,Deadline Games,mixed,44.0,2009
"['Indie', 'Casual']",Osmos,"['Single-player', 'Steam Achievements']",9.99,False,Hemisphere Games,mostly Positive,80.0,2009
['RPG'],Fallout 2: A Post Nuclear Role Playing Game,"['Single-player', 'Steam Cloud']",9.99,False,Black Isle Studios,positive,86.0,1998
['Strategy'],Fallout Tactics: Brotherhood of Steel,"['Single-player', 'Multi-player', 'Steam Cloud']",9.99,False,14° East,positive,82.0,2001
nan,Sacrifice,['Single-player'],9.99,False,Shiny Entertainment,very positive,89.0,2000
"['Adventure', 'Indie']","Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",['Single-player'],4.99,False,Size Five Games,positive,84.0,2009
['Action'],Tom Clancy's Splinter Cell Chaos Theory®,['Single-player'],9.99,False,Ubisoft Montreal,very positive,92.0,2005
"['Action', 'Adventure']",Mini Ninjas,['Single-player'],9.99,False,IO Interactive,mostly Positive,74.0,2009
['RPG'],Risen,"['Single-player', 'Steam Trading Cards']",9.99,False,Piranha Bytes,mostly Positive,77.0,2009
"['Adventure', 'Indie']",Machinarium,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",9.99,False,Amanita Design,positive,85.0,2009
['Action'],Medal of Honor: Airborne,"['Single-player', 'Multi-player']",9.99,False,EA Los Angeles,mostly Positive,78.0,2007
['Racing'],Need for Speed: Shift,"['Single-player', 'Multi-player']",19.99,False,Slightly Mad Studios,positive,83.0,2009
['RPG'],Torchlight,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Includes level editor']",14.99,False,Runic Games,positive,83.0,2009
['Strategy'],East India Company: Privateer,"['Single-player', 'Downloadable Content']",4.99,False,Nitro Games,mixed,63.0,2009
['Action'],Painkiller: Resurrection,"['Single-player', 'Multi-player']",9.99,False,Homegrown Games,mixed,38.0,2009
"['RPG', 'Strategy']",SpellForce 2 - Anniversary Edition,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Online Co-op', 'Steam Cloud', 'Includes level editor']",14.99,False,"Phenomic,THQ Nordic",mostly Positive,80.0,2009
['Strategy'],Rush for Berlin Gold,"['Single-player', 'Multi-player']",4.99,False,Stormregion,mostly Positive,76.0,2009
['Strategy'],Men of War: Red Tide,"['Single-player', 'Steam Cloud']",4.99,False,1C Company,mostly Positive,77.0,2009
"['Action', 'RPG']",SpellForce - Platinum Edition,['Single-player'],9.99,False,Phenomic,mostly Positive,74.0,2009
['Strategy'],Massive Assault,['Single-player'],9.99,False,Wargaming.net,mostly Positive,77.0,2003
nan,Nancy Drew® Dossier: Resorting to Danger!,['Single-player'],6.99,False,HeR Interactive,mostly Positive,77.0,2009
"['Action', 'Indie']",Serious Sam HD: The First Encounter,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",14.99,False,Croteam,mixed,68.0,2009
['Adventure'],Secret Files 2: Puritas Cordis,['Single-player'],9.99,False,Animation Arts,mixed,64.0,2009
['RPG'],Dragon Age: Origins,['Single-player'],19.99,False,BioWare,very positive,91.0,2009
['Action'],Call of Duty®: Modern Warfare® 2,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Cloud', 'Valve Anti-Cheat enabled']",19.99,False,"Infinity Ward,Aspyr (Mac)",positive,86.0,2009
['Adventure'],LEGO® Star Wars™ - The Complete Saga,"['Single-player', 'Shared/Split Screen', 'Full controller support', 'Steam Cloud']",19.99,False,"Traveller's Tales,Feral Interactive (Mac)",mostly Positive,77.0,2009
['RPG'],Overlord™,"['Single-player', 'Partial Controller Support']",4.99,False,"Triumph Studios,Virtual Programming",positive,81.0,2007
['Strategy'],Command & Conquer 3: Tiberium Wars,['Single-player'],14.99,False,EA Los Angeles,positive,85.0,2007
['Strategy'],Command & Conquer 3: Kane's Wrath,"['Single-player', 'Multi-player']",19.99,False,EA Los Angeles,mostly Positive,77.0,2009
"['Indie', 'Simulation', 'Strategy']",Gratuitous Space Battles,"['Single-player', 'Multi-player', 'Steam Trading Cards']",14.99,False,Positech Games,mostly Positive,72.0,2009
['Simulation'],Wings of Prey,"['Single-player', 'Steam Achievements', 'Partial Controller Support']",9.99,False,Gaijin Entertainment,mostly Positive,78.0,2009
"['Action', 'Adventure', 'RPG']",The Bard's Tale,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']",9.99,False,inXile Entertainment,mixed,70.0,2005
['Action'],STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,"['Single-player', 'Partial Controller Support', 'Steam Cloud']",19.99,False,"LucasArts,Aspyr Studios",mixed,65.0,2009
nan,Europa Universalis III: Heir to the Throne,"['Single-player', 'Multi-player', 'Downloadable Content']",9.99,False,Paradox Interactive,positive,86.0,2009
['RPG'],Fallout 3: Game of the Year Edition,['Single-player'],19.99,False,Bethesda Game Studios,very positive,91.0,2009
['Casual'],Roogoo,"['Single-player', 'Multi-player']",1.99,False,Spidermonk Entertainment,mostly Positive,72.0,2009
"['Action', 'Adventure']",Devil May Cry 4,"['Single-player', 'Full controller support']",19.99,False,Capcom,mostly Positive,78.0,2008
"['Action', 'Indie', 'RPG']",Avencast: Rise of the Mage,['Single-player'],9.99,False,ClockStone Studios,mixed,68.0,2010
['Strategy'],UFO: Extraterrestrials Gold,['Single-player'],9.99,False,Chaos Concept,mixed,68.0,2010
['Adventure'],LEGO® Indiana Jones™ 2: The Adventure Continues,"['Single-player', 'Shared/Split Screen']",19.99,False,Traveller's Tales,mixed,66.0,2010
['Sports'],Vancouver 2010™ - The Official Video Game of the Olympic Winter Games,"['Single-player', 'Multi-player']",,False,Eurocom,mixed,57.0,2010
"['Action', 'Indie']",Serious Sam Classic: The First Encounter,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Includes level editor']",9.99,False,Croteam,very positive,87.0,2001
"['Action', 'RPG']",Mount & Blade: Warband,"['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop']",19.99,False,TaleWorlds Entertainment,mostly Positive,78.0,2010
"['Action', 'Indie']",Plain Sight,"['Multi-player', 'Steam Achievements', 'Steam Leaderboards']",4.99,False,Beatnik Games,mostly Positive,76.0,2010
['Action'],Lead and Gold: Gangs of the Wild West,"['Multi-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",9.99,False,Fatshark,mixed,70.0,2010
"['Action', 'Casual', 'Indie']",Beat Hazard,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",9.99,False,Cold Beam Games,mixed,70.0,2010
"['Simulation', 'Strategy']",M.U.D. TV,['Single-player'],9.99,False,Realmforge Studios,mixed,53.0,2010
"['Adventure', 'Indie']",The Misadventures of P.B. Winterbottom,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",4.99,False,The Odd Gentlemen,mostly Positive,79.0,2010
['Action'],AquaNox 2: Revelation,['Single-player'],4.99,False,THQ Nordic,mixed,59.0,2003
['Action'],AquaNox,"['Single-player', 'Multi-player']",4.99,False,THQ Nordic,mixed,67.0,2001
"['Action', 'Indie']",Iron Grip: Warlord,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements']",,False,ISOTX,mixed,59.0,2008
"['Action', 'Adventure']",Rocket Knight,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",14.99,False,Climax Studios,mixed,63.0,2010
"['Action', 'RPG']",Alpha Protocol™,['Single-player'],14.99,False,Obsidian Entertainment,mostly Positive,72.0,2010
['Action'],Alien Breed: Impact,"['Single-player', 'Co-op', 'Steam Achievements', 'Partial Controller Support']",9.99,False,Team17 Software Ltd.,mixed,64.0,2010
['Action'],Alien Swarm,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Captions available', 'Steam Cloud', 'Stats', 'Includes level editor']",Free,False,Valve,mostly Positive,77.0,2010
"['Strategy', 'RPG']",Disciples III - Renaissance Steam Special Edition,"['Single-player', 'Multi-player', 'Steam Achievements']",14.99,False,"Akella,.dat",mixed,56.0,2010
"['Casual', 'Indie']",Tidalis,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Includes level editor']",4.99,False,"Arcen Games, LLC",mostly Positive,75.0,2010
"['Action', 'Casual', 'Indie']",Razor2: Hidden Skies,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Leaderboards']",9.99,False,Invent4 Entertainment,mixed,61.0,2010
['Action'],Kane & Lynch 2: Dog Days,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Leaderboards']",9.99,False,IO Interactive,mixed,66.0,2010
"['Simulation', 'Strategy']",The Guild II Renaissance,['Single-player'],9.99,False,Rune Forge,mixed,56.0,2010
['Strategy'],Fantasy Wars,"['Single-player', 'Multi-player', 'Steam Cloud', 'Includes level editor']",4.99,False,Ino-Co,mixed,67.0,2010
['Action'],Mafia II,"['Single-player', 'Steam Achievements', 'Partial Controller Support']",29.99,False,"2K Czech,Feral Interactive (Mac)",mostly Positive,77.0,2011
"['RPG', 'Casual']",Puzzle Quest 2,"['Single-player', 'Multi-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Stats']",9.99,False,Infinite Interactive,positive,83.0,2010
